mortonOrder,plotID,siteID,nlcdClass,plotType,subtype,applicableModules
815,GRSM_001,GRSM,deciduousForest,distributed,basePlot,bet|bgc|cfc|cdw|dhp|div|hbp|sme|vst
879,GRSM_002,GRSM,deciduousForest,distributed,basePlot,bgc|cfc|cdw|dhp|div|hbp|sme|vst
2495,GRSM_003,GRSM,deciduousForest,distributed,basePlot,bgc|cfc|cdw|dhp|div|hbp|sme|vst
14447,GRSM_006,GRSM,deciduousForest,distributed,basePlot,bet|bgc|cfc|cdw|dhp|div|hbp|sme|vst
15151,GRSM_007,GRSM,deciduousForest,distributed,basePlot,bgc|cfc|cdw|dhp|div|hbp|sme|vst
37839,GRSM_016,GRSM,evergreenForest,distributed,basePlot,bgc|cfc|cdw|dhp|div|hbp|sme|vst
63855,GRSM_055,GRSM,,tower,basePlot,bbc|bgc|cfc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
119663,GRSM_058,GRSM,,tower,basePlot,bbc|bgc|cfc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
145263,GRSM_059,GRSM,,tower,basePlot,bbc|bgc|cfc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
153455,GRSM_060,GRSM,,tower,basePlot,bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst
32,SERC_001,SERC,deciduousForest,distributed,basePlot,bet|bgc|brd|cfc|cdw|dhp|div|hbp|sme|vst
38,SERC_002,SERC,deciduousForest,distributed,basePlot,bet|bgc|brd|cfc|cdw|dhp|div|hbp|sme|vst
41,SERC_003,SERC,deciduousForest,distributed,basePlot,bet|bgc|brd|cfc|cdw|dhp|div|hbp|sme|vst
44,SERC_004,SERC,deciduousForest,distributed,basePlot,bgc|brd|cfc|cdw|dhp|div|hbp|sme|vst
57,SERC_005,SERC,deciduousForest,distributed,basePlot,bgc|brd|cfc|cdw|dhp|div|hbp|sme|vst
76,SERC_007,SERC,cultivatedCrops,distributed,basePlot,bet|bgc|brd|cfc|cdw|dhp|div|hbp|sme|vst
473,SERC_044,SERC,,tower,basePlot,bbc|bgc|cfc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
511,SERC_045,SERC,,tower,basePlot,bbc|bgc|cfc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
2118,SERC_047,SERC,,tower,basePlot,bbc|bgc|cfc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
3142,SERC_049,SERC,,tower,basePlot,bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst
25,WOOD_001,WOOD,grasslandHerbaceous,distributed,basePlot,bet|bgc|cfc|cdw|dhp|div|hbp|sme|vst
49,WOOD_002,WOOD,grasslandHerbaceous,distributed,basePlot,bet|bgc|cfc|cdw|dhp|div|hbp|sme|vst
51,WOOD_003,WOOD,grasslandHerbaceous,distributed,basePlot,bet|bgc|cfc|cdw|dhp|div|hbp|sme|vst
137,WOOD_004,WOOD,grasslandHerbaceous,distributed,basePlot,bet|bgc|cfc|cdw|dhp|div|hbp|sme|vst
1093,WOOD_022,WOOD,emergentHerbaceousWetlands,distributed,basePlot,bgc|cfc|cdw|dhp|div|hbp|sme|vst
1285,WOOD_024,WOOD,emergentHerbaceousWetlands,distributed,basePlot,bet|bgc|cfc|cdw|dhp|div|hbp|sme|vst
297,WOOD_042,WOOD,,tower,basePlot,bbc|bgc|cfc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
925,WOOD_043,WOOD,,tower,basePlot,bbc|bgc|cfc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
1181,WOOD_044,WOOD,,tower,basePlot,bbc|bgc|cfc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
1321,WOOD_045,WOOD,,tower,basePlot,bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst
