plotSize,pointID,aAzimuth,bAzimuth
400,31,0,90
400,33,270,360
400,41,0,360
400,49,90,180
400,51,180,270
1600,21,0,90
1600,23,270,90
1600,25,270,360
1600,39,0,180
1600,41,0,360
1600,43,180,360
1600,57,90,180
1600,59,90,270
1600,61,180,270
3600,11,0,90
3600,13,270,90
3600,15,270,90
3600,17,270,360
3600,29,0,180
3600,31,0,360
3600,33,0,360
3600,35,180,360
3600,47,0,180
3600,49,0,360
3600,51,0,360
3600,53,180,360
3600,65,90,180
3600,67,90,270
3600,69,90,270
3600,71,180,270
7200,1,0,90
7200,3,270,90
7200,5,270,90
7200,7,270,90
7200,9,270,360
7200,19,0,180
7200,21,0,360
7200,23,0,360
7200,25,0,360
7200,27,180,360
7200,37,0,180
7200,39,0,360
7200,41,0,360
7200,43,0,360
7200,45,180,360
7200,55,0,180
7200,57,0,360
7200,59,0,360
7200,61,0,360
7200,63,180,360
7200,73,90,180
7200,75,90,270
7200,77,90,270
7200,79,90,270
7200,81,180,270
